,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
84,84,0.843326538814883,2024-08-01 08:48:27.523572,2024-08-01 08:48:27.964820,0 days 00:00:00.441248,0.5144905559562738,7,0.973655998700645,0.04093791685405367,0.9528742426873928,0.08497351741856173,3,35,125,COMPLETE
85,85,0.8432117018833255,2024-08-01 08:48:27.965286,2024-08-01 08:48:28.483896,0 days 00:00:00.518610,0.539298265217855,7,0.8874377855322754,0.0026497941851415688,0.02543085216970678,0.02608797417696381,4,56,141,COMPLETE
86,86,0.8443851917776757,2024-08-01 08:48:28.484404,2024-08-01 08:48:28.837782,0 days 00:00:00.353378,0.41765069683636696,6,0.8375315524166327,0.0068523661985859215,0.22210851220855682,0.051847578169283114,3,66,129,COMPLETE
87,87,0.8443134186954524,2024-08-01 08:48:28.838269,2024-08-01 08:48:29.297644,0 days 00:00:00.459375,0.45025638754637165,7,0.9335008841502579,0.0009406961831820754,2.196850453677454,0.021389305220261324,4,45,146,COMPLETE
88,88,0.8309420934772622,2024-08-01 08:48:29.298146,2024-08-01 08:48:29.655009,0 days 00:00:00.356863,0.5636402826312605,7,0.9788111859322444,0.001763981561052829,0.5186449341245595,0.0011362110709512944,3,73,140,COMPLETE
89,89,0.8451711070280202,2024-08-01 08:48:29.655508,2024-08-01 08:48:30.009157,0 days 00:00:00.353649,0.49653189230151284,3,0.8598979477860963,0.0042025961711199405,8.764289914065021e-05,0.06328380512598779,3,41,34,COMPLETE
90,90,0.8434736736334405,2024-08-01 08:48:30.009648,2024-08-01 08:48:30.676070,0 days 00:00:00.666422,0.6516705655600326,6,0.6839305182168938,6.543394684587771e-05,2.554716160072393e-05,0.03734635207919888,5,49,134,COMPLETE
91,91,0.8472812356453836,2024-08-01 08:48:30.676575,2024-08-01 08:48:31.004823,0 days 00:00:00.328248,0.5153582319468216,7,0.9455743418617785,0.01030978871138089,9.513164576324158,0.05019072908434852,3,49,135,COMPLETE
92,92,0.8465240296279284,2024-08-01 08:48:31.005276,2024-08-01 08:48:31.333962,0 days 00:00:00.328686,0.5281650324195536,7,0.9503641207549748,0.01482275975962313,4.731026366048012,0.04817032247972536,3,53,132,COMPLETE
93,93,0.8458314193844739,2024-08-01 08:48:31.334490,2024-08-01 08:48:31.784747,0 days 00:00:00.450257,0.46982017495031936,7,0.7783550657316588,0.06757148628676662,9.014891515372272,0.03086504158613293,4,38,137,COMPLETE
94,94,0.8482465836012862,2024-08-01 08:48:31.785205,2024-08-01 08:48:32.130599,0 days 00:00:00.345394,0.5196489807735298,7,0.9193029343725891,0.008681511380974349,3.0606217542766783,0.04065652963319157,3,48,142,COMPLETE
95,95,0.8438074184657786,2024-08-01 08:48:32.131084,2024-08-01 08:48:32.465723,0 days 00:00:00.334639,0.485638693584604,4,0.8671078623918832,0.024171803491784244,3.3241683436960843,0.03977090838212738,3,46,142,COMPLETE
96,96,0.8427667087735417,2024-08-01 08:48:32.466170,2024-08-01 08:48:33.048797,0 days 00:00:00.582627,0.54831969821208,7,0.9206054034830603,0.031840612227439634,1.3202908363434527,0.0689228220087272,4,43,148,COMPLETE
97,97,0.8413563677078548,2024-08-01 08:48:33.049282,2024-08-01 08:48:33.866929,0 days 00:00:00.817647,0.5688226362483668,6,0.8949675101541882,0.0030636378881200394,2.3758071088014345,0.026233969886943362,8,53,127,COMPLETE
98,98,0.8463661288470373,2024-08-01 08:48:33.867441,2024-08-01 08:48:34.214151,0 days 00:00:00.346710,0.44139426454780667,5,0.40091589125130844,0.005221650460624577,0.0002560023642289491,0.08221921350563888,3,58,150,COMPLETE
99,99,0.8462692351860358,2024-08-01 08:48:34.214658,2024-08-01 08:48:34.549109,0 days 00:00:00.334451,0.5181210300982239,7,0.9643684125732225,0.00020960184669681394,1.243672530073739,0.05901398052619957,3,48,139,COMPLETE
