,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
52,52,0.8290293408360129,2024-08-01 08:39:04.088594,2024-08-01 08:39:04.238876,0 days 00:00:00.150282,7.210312865602866e-07,0.563623314857489,0.012114347233309772,0.00014692509345505216,0.00014156636908969355,3,4,0.942916742534606,COMPLETE
53,53,0.840760651125402,2024-08-01 08:39:04.239282,2024-08-01 08:39:04.425823,0 days 00:00:00.186541,2.137405802964766e-05,0.534487522593986,3.0340157164935957e-05,2.5784696234072974e-05,0.00061314743836951,11,5,0.969247787332433,COMPLETE
54,54,0.8348178399173174,2024-08-01 08:39:04.426875,2024-08-01 08:39:04.609912,0 days 00:00:00.183037,2.170070602229616e-06,0.6389305793656763,0.0006603359611315994,0.0002382901266738431,0.00034870347352204206,12,6,0.9052187058139272,COMPLETE
55,55,0.8334900378961875,2024-08-01 08:39:04.610311,2024-08-01 08:39:04.812559,0 days 00:00:00.202248,2.5063361499834114e-07,0.6901992655875986,0.0509026325066763,0.000826982235428334,0.0022707622567539006,10,3,0.9305579965776336,COMPLETE
56,56,0.8377318270555809,2024-08-01 08:39:04.812939,2024-08-01 08:39:05.003633,0 days 00:00:00.190694,2.437483858920705e-08,0.8157504356153423,0.01168227115576651,2.3679347298755114e-06,0.03591858303885644,11,5,0.4026995509291857,COMPLETE
57,57,0.8348286058796509,2024-08-01 08:39:05.004036,2024-08-01 08:39:05.161967,0 days 00:00:00.157931,0.000129060806235446,0.5770594178912947,0.0016232377092455367,5.602437216276427e-05,0.00010448901497531776,4,4,0.8624389514976378,COMPLETE
58,58,0.8428025953146532,2024-08-01 08:39:05.162429,2024-08-01 08:39:05.344383,0 days 00:00:00.181954,5.6990241207875986e-06,0.5350307883004923,0.4960279311596303,0.0013444047198819915,0.07662037830005214,12,6,0.9751736070396795,COMPLETE
59,59,0.8394041398713825,2024-08-01 08:39:05.344788,2024-08-01 08:39:05.526534,0 days 00:00:00.181746,6.396606869509994e-06,0.49557583803345534,0.3902922035015018,0.0015369996192393207,0.020724605455354674,10,6,0.9813636476642094,COMPLETE
60,60,0.838657699816261,2024-08-01 08:39:05.526927,2024-08-01 08:39:05.692486,0 days 00:00:00.165559,0.0006107699585168296,0.9391343864959162,2.6218183902543197,0.00038475798049622306,0.07906887733700897,6,7,0.9577576140798035,COMPLETE
61,61,0.8448481281580157,2024-08-01 08:39:05.692862,2024-08-01 08:39:05.880966,0 days 00:00:00.188104,5.103083473581647e-07,0.5293863253695009,0.005078580108796305,0.00015326095389993612,0.09943314140648604,12,6,0.9507213890327342,COMPLETE
