,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,state
82,82,0.8411159278824071,2024-08-01 09:15:42.911497,2024-08-01 09:15:54.643063,0 days 00:00:11.731566,55,0.2678074941156779,0.4357355955745532,0.0021157948882634206,431,416,COMPLETE
83,83,0.8393718419843822,2024-08-01 09:15:54.643490,2024-08-01 09:16:06.631163,0 days 00:00:11.987673,62,0.22555899693706652,0.46342276842256747,0.0016861880872923282,294,485,COMPLETE
84,84,0.8392641823610474,2024-08-01 09:16:06.631576,2024-08-01 09:16:18.079957,0 days 00:00:11.448381,65,0.2402540524879236,0.47631652192742535,0.004090851827892402,313,465,COMPLETE
85,85,0.8384316146072577,2024-08-01 09:16:18.080400,2024-08-01 09:16:26.657563,0 days 00:00:08.577163,57,0.2475666711323325,0.49230790487021775,0.0008563845744080629,177,442,COMPLETE
86,86,0.8448768373909049,2024-08-01 09:16:26.657938,2024-08-01 09:16:37.880907,0 days 00:00:11.222969,52,0.26974501393084765,0.47127542962381186,0.001961506273138097,264,350,COMPLETE
87,87,0.8410800413412953,2024-08-01 09:16:37.881282,2024-08-01 09:16:49.560057,0 days 00:00:11.678775,52,0.2696059459476158,0.4703918737624302,0.0014341071095920024,352,350,COMPLETE
88,88,0.8415465663757465,2024-08-01 09:16:49.560563,2024-08-01 09:17:01.607172,0 days 00:00:12.046609,48,0.28346154432334963,0.49792793400300484,0.002870652389365717,264,331,COMPLETE
89,89,0.8413743109784108,2024-08-01 09:17:01.607589,2024-08-01 09:17:13.160919,0 days 00:00:11.553330,61,0.3113227957210562,0.4814116505615883,0.0012650358290568408,274,385,COMPLETE
90,90,0.8422427652733119,2024-08-01 09:17:13.161307,2024-08-01 09:17:24.706266,0 days 00:00:11.544959,45,0.3029812555531772,0.4211001291397032,0.0019296519011134806,241,356,COMPLETE
91,91,0.8408790767110703,2024-08-01 09:17:24.706647,2024-08-01 09:17:40.770009,0 days 00:00:16.063362,35,0.2886788704130996,0.45289435369158393,0.002383703058907398,420,402,COMPLETE
92,92,0.8420776871841984,2024-08-01 09:17:40.770436,2024-08-01 09:17:51.895233,0 days 00:00:11.124797,79,0.23425783726312888,0.46865233016420454,0.0034071411919240494,188,422,COMPLETE
93,93,0.8384316146072575,2024-08-01 09:17:51.895730,2024-08-01 09:18:04.102426,0 days 00:00:12.206696,39,0.22461973507463606,0.4357080332644598,0.0025181780265493238,115,436,COMPLETE
94,94,0.8398168350941663,2024-08-01 09:18:04.102811,2024-08-01 09:18:15.828752,0 days 00:00:11.725941,65,0.2561876360303565,0.4895386501062086,0.002183143415560707,161,413,COMPLETE
95,95,0.8393431327514927,2024-08-01 09:18:15.829124,2024-08-01 09:18:27.061798,0 days 00:00:11.232674,71,0.2774174520756971,0.4776252303981482,0.004547994067345441,129,375,COMPLETE
96,96,0.8427164676159853,2024-08-01 09:18:27.062238,2024-08-01 09:18:38.093607,0 days 00:00:11.031369,38,0.3235686118086072,0.45951698425354137,0.003658494161979353,225,395,COMPLETE
97,97,0.8393574873679375,2024-08-01 09:18:38.094020,2024-08-01 09:18:53.320930,0 days 00:00:15.226910,32,0.32163337056241414,0.4606934008324651,0.003742302119283123,206,388,COMPLETE
98,98,0.8380942811208084,2024-08-01 09:18:53.321357,2024-08-01 09:19:03.296893,0 days 00:00:09.975536,57,0.34010735218852417,0.4410553300941875,0.006296509795288433,227,362,COMPLETE
99,99,0.8406565801561782,2024-08-01 09:19:03.297277,2024-08-01 09:19:12.767539,0 days 00:00:09.470262,42,0.3126307120331454,0.39029740779553873,0.0033396990404607166,312,323,COMPLETE
