,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
66,66,0.7968164794007491,2024-08-03 14:58:37.136838,2024-08-03 14:58:39.839945,0 days 00:00:02.703107,0.08331729241013536,174,5,6.067164693873061e-05,0.00012426928378209197,0.3120158658233781,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8323804723502305,COMPLETE
67,67,0.0,2024-08-03 14:58:39.840289,2024-08-03 14:58:42.902291,0 days 00:00:03.062002,0.03393711177468078,129,3,1.1782023779099143e-05,0.0007066430606148219,0.0012358032110996171,0.7345971563981043,0.0,0.0,0.0,0.820254896313364,COMPLETE
68,68,0.7968164794007491,2024-08-03 14:58:42.902708,2024-08-03 14:59:51.150001,0 days 00:01:08.247293,0.22846722904050362,117,11,0.25516363985931995,0.000165874085554085,0.10508097044904051,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8316748271889401,COMPLETE
69,69,0.364484126984127,2024-08-03 14:59:51.150383,2024-08-03 15:00:01.527908,0 days 00:00:10.377525,0.1183940365507939,255,4,0.041609799481050376,0.004983592744574517,0.410705183080576,0.7867298578199052,0.4444444444444445,0.72,0.32142857142857145,0.8382272465437789,COMPLETE
70,70,0.7968164794007491,2024-08-03 15:00:01.528255,2024-08-03 15:00:03.455934,0 days 00:00:01.927679,0.14262360698088006,192,3,0.9818859731738276,0.0002616862179435777,0.19134377077839174,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8283986175115208,COMPLETE
71,71,0.7968164794007491,2024-08-03 15:00:03.456302,2024-08-03 15:00:05.562552,0 days 00:00:02.106250,0.06953164581722532,158,5,0.4564691361840674,0.0003813841489196036,0.6305867450892896,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8296334965437787,COMPLETE
72,72,0.8102915275289135,2024-08-03 15:00:05.562887,2024-08-03 15:00:17.587298,0 days 00:00:12.024411,0.029696714275890455,142,7,1.6178944488226519,0.00033552180628250374,0.5003855330651008,0.47985781990521326,0.4994298745724059,0.33537519142419603,0.9776785714285714,0.8317828341013825,COMPLETE
73,73,0.609244422106591,2024-08-03 15:00:17.587647,2024-08-03 15:01:13.860967,0 days 00:00:56.273320,0.029967647079218007,144,7,2.6975855015966395,0.0005007370934337478,0.8533120239369626,0.7879146919431279,0.6048565121412804,0.5982532751091703,0.6116071428571429,0.8334029377880185,COMPLETE
74,74,0.7968164794007491,2024-08-03 15:01:13.861295,2024-08-03 15:01:21.265195,0 days 00:00:07.403900,0.10911711092071871,137,8,4.909196189762986,0.00021111190197464492,0.2671062307619471,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8339861751152075,COMPLETE
75,75,0.7968164794007491,2024-08-03 15:01:21.265552,2024-08-03 15:01:23.713098,0 days 00:00:02.447546,0.020125758636348086,104,6,1.3577216096043723,0.0003434255509257043,0.5103557362534942,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8333345334101382,COMPLETE
76,76,0.7968164794007491,2024-08-03 15:01:23.713426,2024-08-03 15:01:32.048817,0 days 00:00:08.335391,0.06097488917293443,169,7,0.16412971208262447,0.00013027239450548385,0.37931499919934064,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8330429147465438,COMPLETE
77,77,0.800624399615754,2024-08-03 15:01:32.049185,2024-08-03 15:01:40.124083,0 days 00:00:08.074898,0.33807107484104765,150,7,2.5421987677398384e-08,0.00029009505938984935,0.004110123556438641,0.29739336492890994,0.430355427473583,0.2741738066095471,1.0,0.8293706797235023,COMPLETE
78,78,0.7983443708609271,2024-08-03 15:01:40.124441,2024-08-03 15:01:47.711348,0 days 00:00:07.586907,0.4346459921141653,151,7,2.1686745912369104e-08,0.00027889364210685944,0.004628725217004922,0.278436018957346,0.423841059602649,0.2689075630252101,1.0,0.8294642857142858,COMPLETE
